A new study created in RDB with name: MLP_62542
Trial 0 finished with value: 258.6958705672323 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 8, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.002127899633977048, 'batch_size': 128}. Best is trial 0 with value: 258.6958705672323.
Trial 288 finished with value: 21.455617697399642 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0032114367608417657, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
Trial 289 finished with value: 13.346703694637437 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0010153249493599801, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
Trial 290 finished with value: 26.48275299145905 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0009264093521403055, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
Trial 291 finished with value: 15.441696720747128 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001025450251263366, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
Trial 292 finished with value: 91.96113126223756 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.005506900752351383, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
Trial 293 finished with value: 15.005014106510659 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0010296849034407071, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
Trial 294 finished with value: 51.99682031311396 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0011785831239263633, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
Trial 295 finished with value: 17.867867342394185 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0035542959098779172, 'batch_size': 96}. Best is trial 274 with value: 10.508949231461642.
Trial 296 finished with value: 11.971309945450189 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002846490994961302, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
Trial 297 finished with value: 114.57584840038575 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002725569814602498, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
Trial 298 finished with value: 11.455282190622185 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003103256756391585, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
Trial 299 finished with value: 16.434019472504016 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0038994311693437292, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
